firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,12,12,14,,,left,0,0.95069703,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,13,13,6,,,right,1,0.396793747,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,14,14,0,,,right,1,0.350838968,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.5,2.1,left,4,5,7.1,0,0,0,0,0,15,15,16,,,left,1,0.834119347,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,16,16,18,,,right,1,0.688313048,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.7,1.8,left,3.2,4.2,6,0,0,0,0,0,17,17,7,,,right,0,0.50497834,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,18,18,19,,,right,0,0.300147911,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,19,19,12,,,left,1,0.70083655,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.5,2.5,right,2,3,5.5,0,0,0,0,1,0,20,11,,,right,1,0.912986008,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,1,21,18,,,right,1,0.567344686,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
